kombinasyon_kodu,meslek,konaklama,ulasim,bolge,cocuklu,evrak_sayisi,evrak_listesi,uyari_sayisi
IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|UCUS_REZERVASYONU|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,2
IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|UCUS_REZERVASYONU|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,6
IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|UCUS_REZERVASYONU|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,2
IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|UCUS_REZERVASYONU|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,5
IT_TUR_CALISAN_UCAK_OTEL_IZMIR_COCUKSUZ,calisan,otel,ucak,izmir,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|UCUS_REZERVASYONU|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,2
IT_TUR_CALISAN_UCAK_OTEL_IZMIR_COCUKLU,calisan,otel,ucak,izmir,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|UCUS_REZERVASYONU|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,5
IT_TUR_CALISAN_UCAK_OTEL_DIGER_COCUKSUZ,calisan,otel,ucak,diger,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|UCUS_REZERVASYONU|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,2
IT_TUR_CALISAN_UCAK_OTEL_DIGER_COCUKLU,calisan,otel,ucak,diger,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|UCUS_REZERVASYONU|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,5
IT_TUR_CALISAN_ARAC_OTEL_ANKARA_COCUKSUZ,calisan,otel,arac,ankara,False,18,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|ARAC_RUHSATI|ARAC_SIGORTASI|EHLIYET|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_ARAC_OTEL_ANKARA_COCUKLU,calisan,otel,arac,ankara,True,21,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|ARAC_RUHSATI|ARAC_SIGORTASI|EHLIYET|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,5
IT_TUR_CALISAN_ARAC_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,arac,istanbul,False,18,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|ARAC_RUHSATI|ARAC_SIGORTASI|EHLIYET|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_ARAC_OTEL_ISTANBUL_COCUKLU,calisan,otel,arac,istanbul,True,21,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|ARAC_RUHSATI|ARAC_SIGORTASI|EHLIYET|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
IT_TUR_CALISAN_ARAC_OTEL_IZMIR_COCUKSUZ,calisan,otel,arac,izmir,False,18,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|ARAC_RUHSATI|ARAC_SIGORTASI|EHLIYET|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_ARAC_OTEL_IZMIR_COCUKLU,calisan,otel,arac,izmir,True,21,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|ARAC_RUHSATI|ARAC_SIGORTASI|EHLIYET|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
IT_TUR_CALISAN_ARAC_OTEL_DIGER_COCUKSUZ,calisan,otel,arac,diger,False,18,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|ARAC_RUHSATI|ARAC_SIGORTASI|EHLIYET|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_ARAC_OTEL_DIGER_COCUKLU,calisan,otel,arac,diger,True,21,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|ARAC_RUHSATI|ARAC_SIGORTASI|EHLIYET|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
IT_TUR_CALISAN_OTOBUS_OTEL_ANKARA_COCUKSUZ,calisan,otel,otobus,ankara,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|OTOBUS_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_OTOBUS_OTEL_ANKARA_COCUKLU,calisan,otel,otobus,ankara,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|OTOBUS_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,5
IT_TUR_CALISAN_OTOBUS_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,otobus,istanbul,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|OTOBUS_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_OTOBUS_OTEL_ISTANBUL_COCUKLU,calisan,otel,otobus,istanbul,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|OTOBUS_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
IT_TUR_CALISAN_OTOBUS_OTEL_IZMIR_COCUKSUZ,calisan,otel,otobus,izmir,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|OTOBUS_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_OTOBUS_OTEL_IZMIR_COCUKLU,calisan,otel,otobus,izmir,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|OTOBUS_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
IT_TUR_CALISAN_OTOBUS_OTEL_DIGER_COCUKSUZ,calisan,otel,otobus,diger,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|OTOBUS_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_OTOBUS_OTEL_DIGER_COCUKLU,calisan,otel,otobus,diger,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|OTOBUS_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
