kombinasyon_kodu,meslek,konaklama,ulasim,bolge,cocuklu,DOC_ARAC_RUHSATI,DOC_ARAC_SIGORTASI,DOC_BASVURU_FORMU,DOC_BIYOMETRIK_FOTOGRAF,DOC_CALISMA_EVRAKLARI,DOC_CALISMA_IZIN_BELGESI,DOC_CALISMA_IZIN_BELGESI_ISVEREN,DOC_CALISMA_IZIN_BELGESI_MEMUR,DOC_CIFTCILIK_BELGESI,DOC_COCUK_BASVURU_FORMU,DOC_DAVET_MEKTUBU,DOC_DOGUM_BELGESI,DOC_EHLIYET,DOC_EMEKLILIK_BELGESI,DOC_EV_SAHIBI_KIMLIK,DOC_FAALIYET_BELGESI,DOC_GEMI_BELGESI,DOC_IMZA_SIRKULERI_CALISAN,DOC_IMZA_SIRKULERI_ISVEREN,DOC_KIMLIK_FOTOKOPI,DOC_MADDI_DESTEKCI_CALISMAYANLAR,DOC_MADDI_DESTEKCI_COCUK,DOC_MADDI_DESTEKCI_OGRENCI,DOC_MADDI_GELIR_CALISAN,DOC_MADDI_GELIR_CALISMAYANLAR,DOC_MADDI_GELIR_CIFTCI,DOC_MADDI_GELIR_EMEKLI,DOC_MADDI_GELIR_ISVEREN,DOC_MADDI_GELIR_MEMUR,DOC_MADDI_GELIR_OGRENCI,DOC_MADDI_GELIR_SERBEST,DOC_MUVAFAKATNAME,DOC_MUVAFAKATNAME_COCUK,DOC_OGRENCI_BELGESI,DOC_OTEL_REZERVASYONU,DOC_OTOBUS_BILETI,DOC_PASAPORT,DOC_SEYAHAT_BILDIRGE,DOC_SEYAHAT_SAGLIK_SIGORTASI,DOC_TARIHCELI_YERLESIM_YERI,DOC_TEMINAT,DOC_TICARET_SICIL_GAZETESI,DOC_TICARI_ODA_KAYDI,DOC_TREN_BILETI,DOC_UCUS_REZERVASYONU,DOC_VERGI_LEVHASI_ISVEREN,DOC_VERGI_LEVHASI_SERBEST,DOC_VIZE_HARCI,DOC_VUKUATLI_NUFUS
IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,ucak,istanbul,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
IT_TUR_CALISAN_UCAK_OTEL_ISTANBUL_COCUKLU,calisan,otel,ucak,istanbul,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
IT_TUR_CALISAN_UCAK_OTEL_IZMIR_COCUKSUZ,calisan,otel,ucak,izmir,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
IT_TUR_CALISAN_UCAK_OTEL_IZMIR_COCUKLU,calisan,otel,ucak,izmir,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
IT_TUR_CALISAN_UCAK_OTEL_DIGER_COCUKSUZ,calisan,otel,ucak,diger,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
IT_TUR_CALISAN_UCAK_OTEL_DIGER_COCUKLU,calisan,otel,ucak,diger,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
IT_TUR_CALISAN_ARAC_OTEL_ANKARA_COCUKSUZ,calisan,otel,arac,ankara,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
IT_TUR_CALISAN_ARAC_OTEL_ANKARA_COCUKLU,calisan,otel,arac,ankara,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
IT_TUR_CALISAN_ARAC_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,arac,istanbul,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
IT_TUR_CALISAN_ARAC_OTEL_ISTANBUL_COCUKLU,calisan,otel,arac,istanbul,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
