basvuru_id,kombinasyon_kodu,meslek,konaklama,ulasim,bolge,cocuklu,basvurucu_profil,zorunlu_evrak_sayisi,mevcut_evrak_sayisi,eksik_evrak_sayisi,doc_completeness_score,eksik_evraklar,tam_mi,DOC_ARAC_RUHSATI,DOC_ARAC_SIGORTASI,DOC_BASVURU_FORMU,DOC_BIYOMETRIK_FOTOGRAF,DOC_CALISMA_EVRAKLARI,DOC_CALISMA_IZIN_BELGESI,DOC_CALISMA_IZIN_BELGESI_ISVEREN,DOC_CALISMA_IZIN_BELGESI_MEMUR,DOC_CIFTCILIK_BELGESI,DOC_COCUK_BASVURU_FORMU,DOC_DAVET_MEKTUBU,DOC_DOGUM_BELGESI,DOC_EHLIYET,DOC_EMEKLILIK_BELGESI,DOC_EV_SAHIBI_KIMLIK,DOC_FAALIYET_BELGESI,DOC_GEMI_BELGESI,DOC_IMZA_SIRKULERI_CALISAN,DOC_IMZA_SIRKULERI_ISVEREN,DOC_KIMLIK_FOTOKOPI,DOC_MADDI_DESTEKCI_CALISMAYANLAR,DOC_MADDI_DESTEKCI_COCUK,DOC_MADDI_DESTEKCI_OGRENCI,DOC_MADDI_GELIR_CALISAN,DOC_MADDI_GELIR_CALISMAYANLAR,DOC_MADDI_GELIR_CIFTCI,DOC_MADDI_GELIR_EMEKLI,DOC_MADDI_GELIR_ISVEREN,DOC_MADDI_GELIR_MEMUR,DOC_MADDI_GELIR_OGRENCI,DOC_MADDI_GELIR_SERBEST,DOC_MUVAFAKATNAME,DOC_MUVAFAKATNAME_COCUK,DOC_OGRENCI_BELGESI,DOC_OTEL_REZERVASYONU,DOC_OTOBUS_BILETI,DOC_PASAPORT,DOC_SEYAHAT_BILDIRGE,DOC_SEYAHAT_SAGLIK_SIGORTASI,DOC_TARIHCELI_YERLESIM_YERI,DOC_TEMINAT,DOC_TICARET_SICIL_GAZETESI,DOC_TICARI_ODA_KAYDI,DOC_TREN_BILETI,DOC_UCUS_REZERVASYONU,DOC_VERGI_LEVHASI_ISVEREN,DOC_VERGI_LEVHASI_SERBEST,DOC_VIZE_HARCI,DOC_VUKUATLI_NUFUS
42370c5f,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,16,16,0,1.0,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
63b7f9eb,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,dikkatli,16,16,0,1.0,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
87ef249e,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,dikkatsiz,16,13,3,0.8125,DOC_CALISMA_EVRAKLARI|DOC_MADDI_GELIR_CALISAN|DOC_UCUS_REZERVASYONU,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
b9f66532,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,16,15,1,0.9375,DOC_SEYAHAT_BILDIRGE,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1
e4cba791,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,dikkatsiz,16,13,3,0.8125,DOC_CALISMA_EVRAKLARI|DOC_IMZA_SIRKULERI_CALISAN|DOC_VUKUATLI_NUFUS,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0
ffc61523,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,dikkatsiz,16,14,2,0.875,DOC_IMZA_SIRKULERI_CALISAN|DOC_VUKUATLI_NUFUS,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0
2ff84d28,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,16,14,2,0.875,DOC_BIYOMETRIK_FOTOGRAF|DOC_CALISMA_IZIN_BELGESI,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
6079b7cf,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,dikkatli,16,15,1,0.9375,DOC_IMZA_SIRKULERI_CALISAN,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
a41bb4f5,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,dikkatli,16,14,2,0.875,DOC_CALISMA_EVRAKLARI|DOC_SEYAHAT_BILDIRGE,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1
536db557,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,cok_dikkatsiz,16,11,5,0.6875,DOC_BIYOMETRIK_FOTOGRAF|DOC_CALISMA_IZIN_BELGESI|DOC_PASAPORT|DOC_SEYAHAT_SAGLIK_SIGORTASI|DOC_TEMINAT,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
c505077e,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,16,15,1,0.9375,DOC_CALISMA_IZIN_BELGESI,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
0fbc15af,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,16,13,3,0.8125,DOC_CALISMA_IZIN_BELGESI|DOC_KIMLIK_FOTOKOPI|DOC_VUKUATLI_NUFUS,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0
db0db576,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,16,16,0,1.0,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
97e991bf,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,16,13,3,0.8125,DOC_OTEL_REZERVASYONU|DOC_TEMINAT|DOC_VUKUATLI_NUFUS,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0
c9b76aea,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,dikkatli,16,16,0,1.0,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
e3c49124,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,orta,19,16,3,0.8421,DOC_COCUK_BASVURU_FORMU|DOC_MADDI_GELIR_CALISAN|DOC_TEMINAT,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
6753993e,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,dikkatli,19,18,1,0.9474,DOC_MUVAFAKATNAME,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
b57ebc97,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,dikkatli,19,19,0,1.0,,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
5b1c6d7f,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,dikkatli,19,17,2,0.8947,DOC_DOGUM_BELGESI|DOC_TEMINAT,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
6334f2b3,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,dikkatli,19,19,0,1.0,,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
8d78badd,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,dikkatli,19,18,1,0.9474,DOC_TARIHCELI_YERLESIM_YERI,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1
9a59c08d,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,orta,19,18,1,0.9474,DOC_TEMINAT,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
aa593b4c,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,orta,19,17,2,0.8947,DOC_CALISMA_IZIN_BELGESI|DOC_DOGUM_BELGESI,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
e8d6d4b3,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,dikkatli,19,19,0,1.0,,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
3633f07f,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKLU,calisan,otel,ucak,ankara,1,dikkatli,19,19,0,1.0,,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
