basvuru_id,kombinasyon_kodu,meslek,konaklama,ulasim,bolge,cocuklu,profil_tipi,yas,cinsiyet,seyahat_suresi_gun,onceki_schengen,onceki_ret,pas_gecerlilik_gun,pas_bos_sayfa,sig_teminat_eur,sig_schengen_kapsamli,sig_gidis_oncesi_var,sig_donus_sonrasi_var,sig_eur_belirtilmis,banka_son_bakim_gun,banka_kase_imza_var,banka_bakiye_eur,banka_6ay_duzenli,banka_trend,banka_ani_para,form_imzali_tarihli,form_adres_var,form_telefon_sahip,form_seyahat_tarihi_tutarli,bildirge_gelir_beyan,bildirge_seyahat_arkadasi,rez_yolcu_adlari_tam,rez_tarih_tutarli,rez_donus_bileti_var,konal_tum_isimler_var,meslek_antelli_kagit,meslek_kase_imza,meslek_belge_yasi_gun,faaliyet_yasi_gun,faaliyet_kaynak,faaliyet_kase_var,imza_sirkuleri_var,SKOR_PASAPORT,SKOR_SIGORTA,SKOR_BANKA,SKOR_BASVURU_FORMU,SKOR_BILDIRGE,SKOR_ULASIM,SKOR_KONAKLAMA,SKOR_MESLEK,SKOR_MUVAFAKATNAME,ort_skor,min_skor,n_kritik,n_yuksek,n_orta,onay_olasiligi,etiket,etiket_aciklama,muv_noter_onayli,muv_her_iki_ebeveyn,muv_gecerlilik_gun,yesil_kart_var,davet_renkli_cikti,davet_oturma_izni_var,muv_apostille_var
4f7c7cc5,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,23,Kadın,11,1,0,436,19,43825,False,True,True,True,12,True,2271.34,True,stabil,False,False,True,True,True,True,True,True,True,False,True,True,True,69.0,13.0,web,True,True,1.0,0.6,1.0,0.6,1.0,0.8,1.0,1.0,,0.875,0.6,2,1,0,0.58,1,Onay,,,,,,,
5b61c18e,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,34,Erkek,5,1,0,527,5,44857,True,True,True,True,15,True,992.79,True,stabil,False,True,True,True,True,True,True,True,False,True,True,True,False,73.0,11.0,web,True,True,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,,0.925,0.6,1,1,0,0.663,1,Onay,,,,,,,
4b47368e,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,ideal,32,Erkek,21,6,1,309,14,34532,True,True,True,True,13,True,10156.91,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,False,34.0,25.0,web,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,,0.95,0.6,1,0,0,0.706,1,Onay,,,,,,,
099414fb,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,orta,60,Erkek,8,2,0,488,2,46010,False,True,True,True,1,True,2331.86,False,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,52.0,21.0,resmi,True,True,1.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,,0.925,0.6,1,1,0,0.671,1,Onay,,,,,,,
3ed64ae3,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,ideal,28,Erkek,11,2,0,120,3,32321,True,True,True,True,15,True,8672.05,True,stabil,False,True,True,True,True,True,True,True,True,True,True,True,True,58.0,6.0,web,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
6cc849af,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,riskli,53,Erkek,5,2,0,564,9,45913,True,True,True,True,28,True,805.66,True,artan,False,True,True,True,False,True,True,True,True,True,False,True,True,21.0,96.0,web,True,True,1.0,1.0,0.6,0.8,1.0,1.0,0.8,0.8,,0.875,0.6,1,3,0,0.522,1,Onay,,,,,,,
eedbb8fd,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,ideal,31,Erkek,5,6,0,388,12,36693,True,True,True,True,8,True,12022.37,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,68.0,101.0,web,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,,0.975,0.8,0,1,0,0.785,1,Onay,,,,,,,
3de15d61,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,ideal,31,Erkek,12,4,0,194,10,38228,True,True,True,True,1,True,4569.84,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,6.0,7.0,resmi,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,0,0,0.846,1,Onay,,,,,,,
99fe5a76,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,riskli,57,Erkek,11,0,0,102,12,43491,True,True,True,True,2,True,134.85,True,azalan,False,True,True,True,True,True,True,True,False,True,True,True,True,43.0,4.0,resmi,True,True,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,,0.9,0.4,1,2,0,0.463,1,Onay,,,,,,,
2e552fc6,IT_TUR_CALISAN_UCAK_OTEL_ANKARA_COCUKSUZ,calisan,otel,ucak,ankara,0,ideal,47,Kadın,15,7,1,593,14,36228,True,True,False,True,12,True,11844.45,True,artan,False,True,True,True,True,True,True,True,True,True,True,True,True,23.0,10.0,resmi,True,True,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,,0.95,0.6,1,0,0,0.706,1,Onay,,,,,,,
